seed_id,stage,stage_name,mean_sent_len,var_sent_len,ttr,word_count,char_count
W7154276517,0,academic,30.1,385.69,0.6179401993355482,301,1947
W7154276517,1,news,22.6,122.64,0.581858407079646,452,2929
W7154276517,2,blog,13.73913043478261,60.88846880907372,0.6487341772151899,316,1929
W7154276517,3,carousel,10.695652173913043,30.994328922495274,0.6991869918699187,246,1542
W7131742894,0,academic,24.142857142857142,150.69387755102042,0.6153846153846154,169,1076
W7131742894,1,news,24.0,112.84210526315789,0.5877192982456141,456,2832
W7131742894,2,blog,19.6875,82.96484375,0.6857142857142857,315,1912
W7131742894,3,carousel,15.0625,52.93359375,0.7136929460580913,241,1494
W7117419394,0,academic,34.68181818181818,1501.7623966942149,0.5229357798165137,763,5337
W7117419394,1,news,27.6,250.50666666666666,0.606280193236715,414,2668
W7117419394,2,blog,13.909090909090908,108.62809917355372,0.6568627450980392,306,1790
W7117419394,3,carousel,9.285714285714286,45.48979591836735,0.6192307692307693,260,1505
W7153600070,0,academic,24.125,14.359375,0.6321243523316062,193,1289
W7153600070,1,news,19.772727272727273,109.44834710743801,0.6206896551724138,435,2837
W7153600070,2,blog,15.095238095238095,60.657596371882086,0.6750788643533123,317,1887
W7153600070,3,carousel,8.827586206896552,50.832342449464925,0.71875,256,1554
W7153475872,0,academic,24.125,14.359375,0.6321243523316062,193,1289
W7153475872,1,news,21.238095238095237,89.80045351473923,0.6569506726457399,446,3108
W7153475872,2,blog,17.36842105263158,98.23268698060942,0.6757575757575758,330,2004
W7153475872,3,carousel,11.476190476190476,43.39229024943311,0.7012448132780082,241,1462
W7115025248,0,academic,33.0,146.5,0.7272727272727273,132,975
W7115025248,1,news,23.58823529411765,95.06574394463668,0.6633416458852868,401,2670
W7115025248,2,blog,19.0,91.88235294117646,0.6749226006191951,323,1954
W7115025248,3,carousel,9.44,59.2864,0.7415254237288136,236,1459
W7115008325,0,academic,33.0,146.5,0.7272727272727273,132,975
W7115008325,1,news,24.529411764705884,69.66089965397924,0.657074340527578,417,2869
W7115008325,2,blog,16.31578947368421,99.26869806094183,0.6967741935483871,310,2000
W7115008325,3,carousel,8.428571428571429,45.316326530612244,0.7542372881355932,236,1528
W7126059076,0,academic,27.22222222222222,133.9506172839506,0.6244897959183674,245,1735
W7126059076,1,news,23.0,63.411764705882355,0.6726342710997443,391,2544
W7126059076,2,blog,17.88235294117647,79.63321799307958,0.694078947368421,304,1885
W7126059076,3,carousel,7.083333333333333,31.79861111111111,0.7490196078431373,255,1693
W7126018663,0,academic,27.22222222222222,133.9506172839506,0.6244897959183674,245,1735
W7126018663,1,news,25.3125,82.96484375,0.6395061728395062,405,2731
W7126018663,2,blog,17.055555555555557,118.83024691358025,0.6644951140065146,307,1839
W7126018663,3,carousel,12.090909090909092,21.71900826446281,0.706766917293233,266,1736
W7153750258,0,academic,21.875,20.359375,0.6857142857142857,175,1436
W7153750258,1,news,27.0,82.0,0.5694444444444444,432,2847
W7153750258,2,blog,17.789473684210527,101.53462603878117,0.6153846153846154,338,2011
W7153750258,3,carousel,8.384615384615385,37.544378698224854,0.6926605504587156,218,1346
W7153781896,0,academic,21.875,20.359375,0.6857142857142857,175,1436
W7153781896,1,news,27.733333333333334,96.19555555555556,0.5889423076923077,416,2749
W7153781896,2,blog,12.357142857142858,53.08673469387755,0.6271676300578035,346,2079
W7153781896,3,carousel,11.5,43.79545454545455,0.7035573122529645,253,1635
W7131071032,0,academic,31.0,140.66666666666666,0.6594982078853047,279,2209
W7131071032,1,news,21.047619047619047,114.33106575963718,0.6131221719457014,442,2901
W7131071032,2,blog,16.761904761904763,73.51473922902494,0.6193181818181818,352,2066
W7131071032,3,carousel,9.6,63.2,0.7,240,1434
W7131132383,0,academic,31.0,140.66666666666666,0.6594982078853047,279,2209
W7131132383,1,news,26.38888888888889,144.79320987654322,0.64,475,3212
W7131132383,2,blog,15.3,83.11,0.6470588235294118,306,1834
W7131132383,3,carousel,7.5,38.25,0.6705882352941176,255,1486
W7107944698,0,academic,15.875,127.109375,0.7086614173228346,127,921
W7107944698,1,news,17.90909090909091,51.082644628099175,0.6040609137055838,394,2597
W7107944698,2,blog,14.043478260869565,66.5633270321361,0.5944272445820433,323,1865
W7107944698,3,carousel,9.178571428571429,24.21811224489796,0.603112840466926,257,1450
W7107947259,0,academic,15.875,127.109375,0.7086614173228346,127,921
W7107947259,1,news,21.3,104.91,0.5211267605633803,426,2765
W7107947259,2,blog,12.076923076923077,67.84023668639053,0.6050955414012739,314,1855
W7107947259,3,carousel,9.535714285714286,13.463010204081632,0.6142322097378277,267,1632
W7134028471,0,academic,20.333333333333332,40.55555555555556,0.7540983606557377,122,840
W7134028471,1,news,20.0,132.6,0.64,400,2569
W7134028471,2,blog,14.695652173913043,61.863894139886575,0.5887573964497042,338,1883
W7134028471,3,carousel,8.827586206896552,32.280618311533885,0.64453125,256,1503
W7160845187,0,academic,23.142857142857142,30.122448979591837,0.7407407407407407,162,1200
W7160845187,1,news,27.533333333333335,116.51555555555555,0.6731234866828087,413,2640
W7160845187,2,blog,14.904761904761905,57.419501133786845,0.7092651757188498,313,1937
W7160845187,3,carousel,10.909090909090908,16.082644628099175,0.7208333333333333,240,1499
W7160828296,0,academic,23.142857142857142,30.122448979591837,0.7407407407407407,162,1200
W7160828296,1,news,23.555555555555557,60.69135802469136,0.660377358490566,424,2792
W7160828296,2,blog,16.526315789473685,49.933518005540165,0.7006369426751592,314,1933
W7160828296,3,carousel,11.136363636363637,34.84504132231405,0.7142857142857143,245,1511
W7160248259,0,academic,19.0,38.0,0.7218045112781954,133,998
W7160248259,1,news,18.772727272727273,130.44834710743802,0.6319612590799032,413,2666
W7160248259,2,blog,12.423076923076923,79.62869822485207,0.6470588235294118,323,1933
W7160248259,3,carousel,8.724137931034482,28.682520808561236,0.6640316205533597,253,1572
W7160319602,0,academic,19.0,38.0,0.7218045112781954,133,998
W7160319602,1,news,24.166666666666668,177.47222222222223,0.6413793103448275,435,2779
W7160319602,2,blog,14.826086956521738,68.66540642722117,0.6627565982404692,341,2075
W7160319602,3,carousel,12.047619047619047,50.52154195011338,0.6679841897233202,253,1526
