format,pda,2020,2021,2022,2023,2024,2025,2026,slope_per_year,intercept,r_squared
video,2.5,121,228,395,572,1036,1717,1014,224.929,-454304.357,0.742
audio,2.5,37,67,132,242,366,486,312,67.75,-136823.679,0.783
image,3.5,8,13,24,64,187,345,305,61.357,-123990.357,0.85
text,4.5,0,3,12,273,633,639,366,106.821,-215824.607,0.655
hybrid_card_news,5.0,0,0,0,0,0,0,0,0.0,0.0,0.0
fake_reviews,4.5,72,112,178,253,242,383,188,34.071,-68722.5,0.518
academic_papers,4.0,0,0,0,1,1,0,0,0.036,-71.964,0.025
news_articles,3.5,0,0,0,1,6,7,4,1.143,-2309.429,0.656
